rank,priority,finding,evidence,impact,required_fix,confidence
1,"Blocker","Header-only reset leaves stale production data","Sync-BasketsToOneDrive.ps1:39-46 requires a first data row even though the EA creates a header immediately on a new run.","The old OneDrive Baskets.csv remains visible until the first new basket closes, so Excel can report a prior run as current.","Accept an exact schema-v3 header-only file using the configured expected login and atomically publish it as an empty current snapshot.","High"
2,"Blocker","Scheduled tasks can store an unusable relative config path","Install-BasketsSyncTask.ps1:11-18 quotes ConfigPath without resolving it; the setup guide installs with .\accounts.csv.","The manual copy can pass during installation while the later scheduled task starts in another working directory and cannot find its configuration.","Resolve script and config to validated absolute paths and set or avoid reliance on the task working directory.","High"
3,"Blocker","Enabled-account failures still report process success","Sync-BasketsToOneDrive.ps1:141-165 converts failures into result rows and formats them; it does not throw or exit nonzero after an account error.","Task Scheduler can show a successful run when no current CSV was delivered, preventing reliable alerting and retry policy.","Return a nonzero exit code when any enabled account is Error or an integrity-related Skip, while preserving a machine-readable run summary.","High"
4,"High","Copy consistency and final publication are not atomic","Sync-BasketsToOneDrive.ps1:116-135 takes a fresh zero-second stability snapshot after copying instead of comparing pre-copy and post-copy metadata, then uses File.Copy to overwrite the live destination.","An MT4 append during the copy can produce an inconsistent snapshot, and OneDrive or Excel can observe a partially overwritten destination.","Capture and compare source metadata or digest across the copy, validate the temporary file, then use an atomic same-volume replace/move.","High"
5,"High","CSV validation covers only four header names and the first row","Sync-BasketsToOneDrive.ps1:29-46 does not validate all rows; Test-MoneyMachineCsvSync.ps1:33-36 appends a non-CSV comment line and still expects a successful copy.","Malformed rows, mixed accounts, wrong schema values, missing keys, or duplicate basket keys can enter the dashboard unnoticed.","Parse the complete copied file and enforce schema/order, field count, version, account consistency, key completeness/uniqueness, types, and controlled values.","High"
6,"High","Daily and logon tasks can overlap and race on shared state","Install-BasketsSyncTask.ps1:24-28 creates two independent tasks; Sync-BasketsToOneDrive.ps1:49-68 and 158 directly read/write one shared success-state file without a cross-process lock or atomic replace.","Concurrent runs can lose success markers, interleave logs, or race while publishing the same account destination.","Use a named mutex or lock file across both tasks and atomically replace state after a complete run.","High"
7,"High","Configuration fingerprint omits 12 of 37 configuration inputs","MoneyMachine_Baskets.m:20 includes 25 fields but omits FixedLots, five detailed regime settings, the trading-days enable flag, and Monday-Friday flags.","Runs with materially different trading configurations can receive the same fingerprint and be compared as if their setup were identical.","Build the fingerprint from all 37 configuration fields in a stable documented order with culture-invariant formatting.","High"
8,"Medium","Success confirms only a local copy, not cloud delivery or report freshness","Sync-BasketsToOneDrive.ps1:147-150 marks success immediately after the local overwrite; logging at lines 13-19 has no rotation, heartbeat, cloud-state check, or alert output.","Paused, signed-out, quota-full, or offline OneDrive can leave the cloud and Excel stale while local runs continue to say Success; sync.log grows without bound.","Define a freshness SLO, emit per-account source/destination timestamps and row counts, rotate logs, and monitor an end-to-end heartbeat or OneDrive sync state.","High"
9,"Medium","Excel delivery is a manual setup and refresh step","The workbook package contains no external connection; CSV_ONEDRIVE_EXCEL_SETUP.md:49-57 instructs the operator to paste M code and use Refresh All.","The current deliverable is not an end-to-end automated reporting pipeline and can remain stale even when OneDrive is current.","Either document this explicitly as an accepted manual control or ship a prewired, tested query plus a defined refresh/ownership procedure.","High"
10,"Medium","Installer assumes a Windows PowerShell executable without a runtime preflight","Install-BasketsSyncTask.ps1:13 constructs $PSHOME\powershell.exe and lines 17-18 register it without checking that the executable exists or the required ScheduledTasks cmdlets are available.","Installation from PowerShell 7 or an unexpected host can register a task whose executable path is invalid or unsupported.","Declare the supported runtime, resolve the executable with Get-Command or the current process path, and fail installation if prerequisites are missing.","High"
11,"Medium","Upstream CSV text fields are not escaped","AmmarTradingGoldEA V3.mq4:1620-1681 concatenates BrokerName, Symbol, and other text directly into a comma-separated line.","A comma, quote, or newline in a broker-provided text field can shift columns or corrupt a row before the sync validator sees it.","Use a tested CSV-escaping helper for every text field and add fixtures containing commas, quotes, and line breaks.","Medium"
